time_utc,cams_total_aerosol_optical_depth_at_469nm,cams_total_aerosol_optical_depth_at_550nm,cams_total_aerosol_optical_depth_at_670nm,cams_total_aerosol_optical_depth_at_865nm,cams_gems_total_column_ozone,cams_total_cloud_cover,source
2003-01-17 12:00:00+00:00,0.053254683,0.04296027,0.032312594,0.021484287,0.005948369,0.027216434,cams_eac4
2003-01-17 15:00:00+00:00,0.06946711,0.055663217,0.041461788,0.027152183,0.0059478236,0.0012452602,cams_eac4
2003-01-17 18:00:00+00:00,0.10149415,0.08072144,0.059408356,0.038189687,0.006015558,0.0,cams_eac4
2003-01-17 21:00:00+00:00,0.13225536,0.104528934,0.07620202,0.04833639,0.006068731,0.0,cams_eac4
2003-01-18 00:00:00+00:00,0.20455065,0.1611029,0.11677892,0.07341348,0.0060388795,0.0024867058,cams_eac4
2003-01-18 03:00:00+00:00,0.29284048,0.23066829,0.16719182,0.105079144,0.0059973104,0.015931288,cams_eac4
2003-01-18 06:00:00+00:00,0.35743284,0.28170288,0.20442083,0.12874684,0.005992302,0.0024867058,cams_eac4
2003-01-18 09:00:00+00:00,0.36991164,0.29197937,0.21240242,0.13428359,0.0059581418,0.0,cams_eac4
2003-01-18 12:00:00+00:00,0.14785872,0.1176492,0.086691774,0.05588701,0.0058550797,0.0,cams_eac4
2003-01-18 15:00:00+00:00,0.1757941,0.13984865,0.10301415,0.06633609,0.0058914614,0.006885171,cams_eac4
2003-01-18 18:00:00+00:00,0.19220766,0.15260474,0.112012744,0.071719825,0.0059733763,0.0012452602,cams_eac4
2003-01-18 21:00:00+00:00,0.16977173,0.13454702,0.09854885,0.06298672,0.006063456,0.0,cams_eac4
2003-01-19 00:00:00+00:00,0.20612831,0.16306326,0.11898549,0.07555378,0.006122,0.30536652,cams_eac4
2003-01-19 03:00:00+00:00,0.2863556,0.22639987,0.1648963,0.10427842,0.006153552,0.017836094,cams_eac4
2003-01-19 06:00:00+00:00,0.2937746,0.23262371,0.16972724,0.10755205,0.0062263734,0.0040695667,cams_eac4
2003-01-19 09:00:00+00:00,0.22759081,0.18031791,0.13182108,0.08387563,0.006347097,0.01468277,cams_eac4
2003-01-19 12:00:00+00:00,0.0721458,0.057802293,0.043029908,0.02816767,0.0063864947,0.113925934,cams_eac4
2003-01-19 15:00:00+00:00,0.07966703,0.06369174,0.04727497,0.030808076,0.0064790025,0.065387726,cams_eac4
2003-01-19 18:00:00+00:00,0.092787355,0.07383782,0.054392368,0.03507534,0.0065689725,0.021567822,cams_eac4
2003-01-19 21:00:00+00:00,0.1184144,0.09365338,0.06843224,0.043695346,0.0065373434,0.16879964,cams_eac4
2003-01-20 00:00:00+00:00,0.17938885,0.14164057,0.102909274,0.06501122,0.0065308353,0.7197597,cams_eac4
2003-01-20 03:00:00+00:00,0.21100822,0.16713957,0.12183362,0.07715986,0.0065780417,0.72987866,cams_eac4
2003-01-20 06:00:00+00:00,0.23435073,0.1861176,0.13615268,0.08661355,0.0065774615,0.459431,cams_eac4
2003-01-20 09:00:00+00:00,0.28449598,0.22668459,0.16648157,0.1063319,0.0065449406,0.3293022,cams_eac4
2003-01-20 12:00:00+00:00,0.28069708,0.22491245,0.16634545,0.10714392,0.0064423895,0.6265455,cams_eac4
2003-01-20 15:00:00+00:00,0.3553692,0.28542262,0.21147743,0.13623852,0.0064368485,0.32073992,cams_eac4
2003-01-20 18:00:00+00:00,0.48011494,0.38283503,0.2804715,0.17761707,0.0064913384,0.04124219,cams_eac4
2003-01-20 21:00:00+00:00,0.48015326,0.38223112,0.27922788,0.17607382,0.006528044,0.0056398995,cams_eac4
2003-01-21 00:00:00+00:00,0.24076194,0.19119772,0.13920449,0.08740574,0.0065659652,0.0062184334,cams_eac4
2003-01-21 03:00:00+00:00,0.2455838,0.19646086,0.14435126,0.09169477,0.0066285604,0.014349314,cams_eac4
2003-01-21 06:00:00+00:00,0.29417336,0.23864394,0.17860164,0.11632157,0.006822412,0.24300933,cams_eac4
2003-01-21 09:00:00+00:00,0.35261384,0.28923172,0.22004205,0.14719075,0.0069823884,0.9950238,cams_eac4
2003-01-21 12:00:00+00:00,0.3165499,0.26109672,0.20072863,0.13701671,0.0070071593,0.94326067,cams_eac4
2003-01-21 15:00:00+00:00,0.3877616,0.32171926,0.24793714,0.16835503,0.006825771,0.8445658,cams_eac4
2003-01-21 18:00:00+00:00,0.54809135,0.45436427,0.34893283,0.23491508,0.0065249144,0.876842,cams_eac4
2003-01-21 21:00:00+00:00,0.474056,0.3834126,0.28574184,0.18529531,0.0063169636,0.45130986,cams_eac4
2003-01-22 00:00:00+00:00,0.41859034,0.3371674,0.2500625,0.16136841,0.006182062,0.27159452,cams_eac4
2003-01-22 03:00:00+00:00,0.40299737,0.32455605,0.24079248,0.15555741,0.0060107526,0.19228595,cams_eac4
2003-01-22 06:00:00+00:00,0.44080004,0.3557285,0.26505712,0.17255183,0.0058764485,0.6964505,cams_eac4
2003-01-22 09:00:00+00:00,0.51494205,0.41586396,0.3109442,0.20432773,0.005755105,0.99626803,cams_eac4
2003-01-22 12:00:00+00:00,0.18672228,0.15350156,0.11825821,0.0818395,0.0056556957,0.9884179,cams_eac4
2003-01-22 15:00:00+00:00,0.30832598,0.25201967,0.19212006,0.13040935,0.0056324136,0.9999993,cams_eac4
2003-01-22 18:00:00+00:00,0.39751893,0.32195178,0.24267562,0.16275394,0.005620947,1.0,cams_eac4
2003-01-22 21:00:00+00:00,0.5542786,0.44499144,0.33091003,0.21710432,0.005587427,1.0,cams_eac4
2003-01-23 00:00:00+00:00,0.6487051,0.52074873,0.38676357,0.2529477,0.0056109456,1.0,cams_eac4
2003-01-23 03:00:00+00:00,0.6670085,0.5330581,0.393904,0.25603008,0.005600469,1.0000001,cams_eac4
2003-01-23 06:00:00+00:00,0.6884422,0.55037504,0.40731156,0.26573357,0.0056595956,1.0,cams_eac4
2003-01-23 09:00:00+00:00,0.63114524,0.5049372,0.37436545,0.24508238,0.005685595,1.0,cams_eac4
2003-01-23 12:00:00+00:00,0.3804267,0.30656207,0.23009095,0.15399216,0.0057207965,1.0,cams_eac4
2003-01-23 15:00:00+00:00,0.38342014,0.31074175,0.23524617,0.15969509,0.005793999,1.0,cams_eac4
2003-01-23 18:00:00+00:00,0.44414935,0.35983422,0.27239317,0.18517545,0.005937841,1.0,cams_eac4
2003-01-23 21:00:00+00:00,0.47427002,0.3796021,0.2820191,0.18575284,0.005974699,0.99004716,cams_eac4
2003-01-24 00:00:00+00:00,0.43297902,0.344284,0.25295955,0.16309561,0.006105105,0.26718935,cams_eac4
2003-01-24 03:00:00+00:00,0.30042285,0.23902045,0.1756826,0.11314981,0.006123373,0.023722105,cams_eac4
2003-01-24 06:00:00+00:00,0.25770196,0.20693499,0.15435559,0.10203842,0.0060894475,0.0,cams_eac4
2003-01-24 09:00:00+00:00,0.2420872,0.19619446,0.14862795,0.10110653,0.0060078595,0.72444636,cams_eac4
2003-01-24 12:00:00+00:00,0.10017033,0.08244595,0.06398633,0.04528763,0.0059309904,0.0109163225,cams_eac4
2003-01-24 15:00:00+00:00,0.12732765,0.10398938,0.07966611,0.054998346,0.005900413,0.4797004,cams_eac4
2003-01-24 18:00:00+00:00,0.15620519,0.12692806,0.09644106,0.06567734,0.0058820327,0.44430405,cams_eac4
2003-01-24 21:00:00+00:00,0.17438313,0.14055716,0.105570585,0.07070909,0.005894518,0.29951084,cams_eac4
2003-01-25 00:00:00+00:00,0.13694382,0.11037447,0.08314672,0.056393187,0.005906186,0.88100547,cams_eac4
2003-01-25 03:00:00+00:00,0.12834872,0.10442916,0.07969902,0.05515706,0.0058895387,0.5077632,cams_eac4
2003-01-25 06:00:00+00:00,0.120720685,0.098037705,0.07457872,0.051244043,0.005941673,0.0049772263,cams_eac4
2003-01-25 09:00:00+00:00,0.108572155,0.08785926,0.06638396,0.0448545,0.005982748,0.4778124,cams_eac4
2003-01-25 12:00:00+00:00,0.039746962,0.03204012,0.024045002,0.015931945,0.0059446474,0.0037317276,cams_eac4
2003-01-25 15:00:00+00:00,0.06794365,0.05466747,0.04089559,0.026955519,0.0058924872,0.0012452602,cams_eac4
2003-01-25 18:00:00+00:00,0.084941655,0.068110034,0.050765082,0.033413358,0.005901491,0.0012450218,cams_eac4
2003-01-25 21:00:00+00:00,0.09565146,0.07660428,0.057075486,0.037767477,0.005845702,0.18114972,cams_eac4
2003-01-26 00:00:00+00:00,0.101766616,0.08141425,0.060568605,0.040130004,0.0058013457,0.0012452602,cams_eac4
2003-01-26 03:00:00+00:00,0.13928837,0.11108411,0.08220653,0.053922854,0.005761897,0.0012452602,cams_eac4
2003-01-26 06:00:00+00:00,0.1476703,0.11814931,0.08786175,0.058019698,0.0057067536,0.0,cams_eac4
2003-01-26 09:00:00+00:00,0.13835171,0.11129683,0.08349493,0.05592493,0.0056775003,0.002486229,cams_eac4
2003-01-26 12:00:00+00:00,0.066088654,0.053963497,0.041443177,0.02883632,0.005644462,0.3921489,cams_eac4
2003-01-26 15:00:00+00:00,0.07042921,0.05709644,0.04333777,0.029486287,0.0056392713,0.0,cams_eac4
2003-01-26 18:00:00+00:00,0.07414776,0.059606556,0.0446465,0.029737823,0.0056938296,0.0,cams_eac4
2003-01-26 21:00:00+00:00,0.040779855,0.033025816,0.025065964,0.017243654,0.005764224,0.0,cams_eac4
2003-01-27 00:00:00+00:00,0.14294955,0.11339538,0.0832137,0.053733528,0.0058415527,0.07798699,cams_eac4
2003-01-27 03:00:00+00:00,0.20223194,0.16010733,0.1170943,0.07506103,0.0059089283,0.6226057,cams_eac4
2003-01-27 06:00:00+00:00,0.23190649,0.1837149,0.13446721,0.08620221,0.0059531517,0.897754,cams_eac4
2003-01-27 09:00:00+00:00,0.25253075,0.20013525,0.14657795,0.09396812,0.00596242,0.9843499,cams_eac4
2003-01-27 12:00:00+00:00,0.11950484,0.09627919,0.07237704,0.0485157,0.0059937485,0.9943602,cams_eac4
2003-01-27 15:00:00+00:00,0.1457019,0.11674097,0.0869761,0.057437763,0.0061853947,0.9940598,cams_eac4
2003-01-27 18:00:00+00:00,0.18431547,0.14664486,0.10810413,0.0702945,0.006348822,1.0000001,cams_eac4
2003-01-27 21:00:00+00:00,0.25085098,0.19847244,0.14493869,0.0927787,0.006391649,1.0,cams_eac4
2003-01-28 00:00:00+00:00,0.19467436,0.15472612,0.113849804,0.07398209,0.0064150416,1.0,cams_eac4
2003-01-28 03:00:00+00:00,0.19677924,0.15703729,0.11613385,0.075997755,0.0064261905,1.0,cams_eac4
2003-01-28 06:00:00+00:00,0.16327515,0.12975073,0.09530289,0.06145582,0.0064295516,0.9131744,cams_eac4
2003-01-28 09:00:00+00:00,0.18228999,0.14486301,0.10639228,0.068442,0.006418229,0.38937128,cams_eac4
2003-01-28 12:00:00+00:00,0.21389228,0.1704331,0.1254715,0.0807649,0.0063366606,0.9928164,cams_eac4
2003-01-28 15:00:00+00:00,0.29173902,0.23298876,0.17196685,0.111060426,0.0062731802,0.97407067,cams_eac4
2003-01-28 18:00:00+00:00,0.3496957,0.27793506,0.20390585,0.13073999,0.006305322,1.0,cams_eac4
2003-01-28 21:00:00+00:00,0.42400303,0.33696768,0.2471162,0.15853563,0.006283018,1.0,cams_eac4
2003-01-29 00:00:00+00:00,0.47319216,0.3763338,0.2760855,0.17704603,0.0063240393,0.9413372,cams_eac4
